"","sequence_ID","sample_ID","sequencing_ID","sample_type","organism_water","number","time_point","date","lake","elevation_m","temp_C","chla_ug.L","pH","DO_perc","spc","cond","DOC","TDN","TDP","phy_group","elev.cat","read.sum"
"41","132_16S","75_Z","MP_46_16S","Zooplankton","Cyclopoid",50,"3","2022-07-21","Virginia",2983,18.7,0.35,8.48,81.4,93,81.9,1.1,217.24,7.74,"copepoda","Above",10436
"42","134_16S","24_Z22","MP_48_16S","Zooplankton","Cyclopoid",50,"1","2022-06-26","Eastern Brook",3155,13.1,0.4,6.9,67.3,20,15.5,3.1,217.44,32.97,"copepoda","Above",11184
"43","135_16S","52_Z","MP_49_16S","Zooplankton","Cyclopoid",50,"5","2022-08-22","Blue",3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA,"copepoda","Above",855
"44","136_16S","3_Z22","MP_50_16S","Zooplankton","Calanoid",50,"1","2022-06-25","Convict",2315,13.8,0.26,5.87,81.6,166,130.3,0.6,NA,NA,"copepoda","Below",560
"45","137_16S","73_Z","MP_51_16S","Zooplankton","Cyclopoid",50,"3","2022-07-21","Virginia",2983,18.7,0.35,8.48,81.4,93,81.9,1.1,217.24,7.74,"copepoda","Above",1294
"46","138_16S","49_Z22","MP_52_16S","Zooplankton","Calanoid",50,"1","2022-06-26","Serene",3124,14.4,1.31,6.96,69.5,17.6,14,2.7,211.83,10.84,"copepoda","Above",3019
"47","139_16S","54_Z","MP_53_16S","Zooplankton","Cyclopoid",50,"5","2022-08-22","Blue",3005,18.5,0.55,7.93,73.1,115.1,93.6,1.1,NA,NA,"copepoda","Above",390
"48","14_16S","63_Z","MP_54_16S","Zooplankton","Cyclopoid",50,"3","2022-07-21","Blue",3005,17,0.22,8.48,81.3,100.2,84.9,0.9,79.48,6.19,"copepoda","Above",2984
"49","140_16S","55_Z22","MP_55_16S","Zooplankton","Cyclopoid",50,"1","2022-06-29","Blue",3005,12.8,0.34,7.97,73.8,97.5,74.7,0.8,137.16,22.6,"copepoda","Above",10313
"50","141_16S","30_Z22","MP_56_16S","Zooplankton","Daphnia",30,"1","2022-06-29","Cooney",3116,12.6,0.45,7.96,80.5,106.9,81.7,0.7,269.97,57.28,"cladocera","Above",7919
"51","143_16S","18_Z22","MP_58_16S","Zooplankton","Daphnia",30,"1","2022-06-26","Eastern Brook",3155,13.1,0.4,6.9,67.3,20,15.5,3.1,217.44,32.97,"cladocera","Above",7108
"52","144_16S","26_Z","MP_59_16S","Zooplankton","Calanoid",50,"2","2022-07-07","Convict",2315,15.3,0.28,7.14,84.5,163.2,137.2,1.1,NA,4.33,"copepoda","Below",3613
"53","145_16S","29_Z22","MP_60_16S","Zooplankton","Daphnia",30,"1","2022-06-29","Cooney",3116,12.6,0.45,7.96,80.5,106.9,81.7,0.7,269.97,57.28,"cladocera","Above",167
"54","146_16S","15_Z","MP_61_16S","Zooplankton","Calanoid",50,"2","2022-07-06","Eastern Brook",3155,16,0.93,8.6,73.8,20.6,17,3.4,409.63,13.62,"copepoda","Above",1608
"55","147_16S","47_Z22","MP_62_16S","Zooplankton","Cyclopoid",50,"1","2022-06-29","Virginia",2983,14.5,0.67,7.88,76,90.3,72.2,0.8,165.18,4.95,"copepoda","Above",3746
"56","15_16S","71_Z","MP_65_16S","Zooplankton","Calanoid",50,"3","2022-07-21","Virginia",2983,18.7,0.35,8.48,81.4,93,81.9,1.1,217.24,7.74,"copepoda","Above",190
