sequence_ID,sample_ID,sequencing_ID,sample_type,organism_water,number,time_point,date,lake,elevation_m,temp_C,chla_ug.L,pH,DO_perc,spc,cond,DOC,TDN,TDP
40_16S,246_Z,MP_309_16S,Zooplankton,Daphnia,30,5,2022-08-23,Convict,2315,20.9,0.39,8.03,73.1,172.3,139.8,2.00,NA,NA
50_16S,254_Z,MP_319_16S,Zooplankton,Cyclopoid,50,5,2022-08-23,Convict,2315,20.9,0.39,8.03,73.1,172.3,139.8,2.00,NA,NA
56_16S,253_Z,MP_325_16S,Zooplankton,Calanoid,50,5,2022-08-23,Convict,2315,20.9,0.39,8.03,73.1,172.3,139.8,2.00,NA,NA
60_16S,257_Z,MP_329_16S,Zooplankton,Cyclopoid,50,5,2022-08-23,Convict,2315,20.9,0.39,8.03,73.1,172.3,139.8,2.00,NA,NA
61_16S,43_W,MP_330_16S,Water,Water,NA,5,2022-08-23,Convict,2315,20.9,0.39,8.03,73.1,172.3,139.8,2.00,NA,NA
69_16S,255_Z,MP_338_16S,Zooplankton,Cyclopoid,50,5,2022-08-23,Convict,2315,20.9,0.39,8.03,73.1,172.3,139.8,2.00,NA,NA
70_16S,249_Z,MP_339_16S,Zooplankton,Daphnia,30,5,2022-08-23,Convict,2315,20.9,0.39,8.03,73.1,172.3,139.8,2.00,NA,NA
85_16S,250_Z,MP_354_16S,Zooplankton,Calanoid,50,5,2022-08-23,Convict,2315,20.9,0.39,8.03,73.1,172.3,139.8,2.00,NA,NA
89_16S,248_Z,MP_358_16S,Zooplankton,Daphnia,30,5,2022-08-23,Convict,2315,20.9,0.39,8.03,73.1,172.3,139.8,2.00,NA,NA
95_16S,247_Z,MP_364_16S,Zooplankton,Daphnia,30,5,2022-08-23,Convict,2315,20.9,0.39,8.03,73.1,172.3,139.8,2.00,NA,NA
97_16S,252_Z,MP_366_16S,Zooplankton,Calanoid,50,5,2022-08-23,Convict,2315,20.9,0.39,8.03,73.1,172.3,139.8,2.00,NA,NA
07_16S,31_Z22,MP_07_16S,Zooplankton,Daphnia,30,1,2022-06-29,Cooney,3116,12.6,0.45,7.96,80.5,106.9,81.7,0.7,269.97,57.28
116_16S,26_Z22,MP_28_16S,Zooplankton,Cyclopoid,48,1,2022-06-29,Cooney,3116,12.6,0.45,7.96,80.5,106.9,81.7,0.7,269.97,57.28
121_16S,28_Z22,MP_34_16S,Zooplankton,Daphnia,30,1,2022-06-29,Cooney,3116,12.6,0.45,7.96,80.5,106.9,81.7,0.7,269.97,57.28
126_16S,32_Z22,MP_39_16S,Zooplankton,Daphnia,30,1,2022-06-29,Cooney,3116,12.6,0.45,7.96,80.5,106.9,81.7,0.7,269.97,57.28
141_16S,30_Z22,MP_56_16S,Zooplankton,Daphnia,30,1,2022-06-29,Cooney,3116,12.6,0.45,7.96,80.5,106.9,81.7,0.7,269.97,57.28
145_16S,29_Z22,MP_60_16S,Zooplankton,Daphnia,30,1,2022-06-29,Cooney,3116,12.6,0.45,7.96,80.5,106.9,81.7,0.7,269.97,57.28
166_16S,27_Z22,MP_83_16S,Zooplankton,Daphnia,30,1,2022-06-29,Cooney,3116,12.6,0.45,7.96,80.5,106.9,81.7,0.7,269.97,57.28
189_16S,34_Z22,MP_108_16S,Zooplankton,Calanoid,123,1,2022-06-29,Cooney,3116,12.6,0.45,7.96,80.5,106.9,81.7,0.7,269.97,57.28
193_16S,33_Z22,MP_113_16S,Zooplankton,Daphnia,100,1,2022-06-29,Cooney,3116,12.6,0.45,7.96,80.5,106.9,81.7,0.7,269.97,57.28
106_16S,56_Z,MP_17_16S,Zooplankton,Calanoid,27,2,2022-07-09,Cooney,3116,14.3,0.30,6.94,77.5,109.6,87.1,1.0,74.73,9.29
11_16S,57_Z,MP_21_16S,Zooplankton,Cyclopoid,50,2,2022-07-09,Cooney,3116,14.3,0.30,6.94,77.5,109.6,87.1,1.0,74.73,9.29
112_16S,55_Z,MP_24_16S,Zooplankton,Calanoid,50,2,2022-07-09,Cooney,3116,14.3,0.30,6.94,77.5,109.6,87.1,1.0,74.73,9.29
114_16S,44_Z,MP_26_16S,Zooplankton,Calanoid,50,2,2022-07-09,Cooney,3116,14.3,0.30,6.94,77.5,109.6,87.1,1.0,74.73,9.29
160_16S,40_Z,MP_77_16S,Zooplankton,Daphnia,30,2,2022-07-09,Cooney,3116,14.3,0.30,6.94,77.5,109.6,87.1,1.0,74.73,9.29
167_16S,45_Z,MP_84_16S,Zooplankton,Calanoid,50,2,2022-07-09,Cooney,3116,14.3,0.30,6.94,77.5,109.6,87.1,1.0,74.73,9.29
206_16S,41_Z,MP_127_16S,Zooplankton,Daphnia,30,2,2022-07-09,Cooney,3116,14.3,0.30,6.94,77.5,109.6,87.1,1.0,74.73,9.29
227_16S,46_Z,MP_150_16S,Zooplankton,Cyclopoid,17,2,2022-07-09,Cooney,3116,14.3,0.30,6.94,77.5,109.6,87.1,1.0,74.73,9.29
233_16S,43_Z,MP_157_16S,Zooplankton,Daphnia,30,2,2022-07-09,Cooney,3116,14.3,0.30,6.94,77.5,109.6,87.1,1.0,74.73,9.29
237_16S,42_Z,MP_161_16S,Zooplankton,Daphnia,30,2,2022-07-09,Cooney,3116,14.3,0.30,6.94,77.5,109.6,87.1,1.0,74.73,9.29
03_16S,95_Z,MP_03_16S,Zooplankton,Cyclopoid,50,3,2022-07-21,Cooney,3116,16.7,0.43,8.61,76.8,112.9,95.0,1.0,84.23,369.04
103_16S,94_Z,MP_14_16S,Zooplankton,Cyclopoid,50,3,2022-07-21,Cooney,3116,16.7,0.43,8.61,76.8,112.9,95.0,1.0,84.23,369.04
12_16S,92_Z,MP_32_16S,Zooplankton,Cyclopoid,50,3,2022-07-21,Cooney,3116,16.7,0.43,8.61,76.8,112.9,95.0,1.0,84.23,369.04
151_16S,93_Z,MP_67_16S,Zooplankton,Cyclopoid,50,3,2022-07-21,Cooney,3116,16.7,0.43,8.61,76.8,112.9,95.0,1.0,84.23,369.04
188_16S,90_Z,MP_107_16S,Zooplankton,Daphnia,30,3,2022-07-21,Cooney,3116,16.7,0.43,8.61,76.8,112.9,95.0,1.0,84.23,369.04
199_16S,97_Z,MP_119_16S,Zooplankton,Calanoid,50,3,2022-07-21,Cooney,3116,16.7,0.43,8.61,76.8,112.9,95.0,1.0,84.23,369.04
203_16S,98_Z,MP_124_16S,Zooplankton,Calanoid,50,3,2022-07-21,Cooney,3116,16.7,0.43,8.61,76.8,112.9,95.0,1.0,84.23,369.04
216_16S,96_Z,MP_138_16S,Zooplankton,Calanoid,50,3,2022-07-21,Cooney,3116,16.7,0.43,8.61,76.8,112.9,95.0,1.0,84.23,369.04
257_16S,91_Z,MP_183_16S,Zooplankton,Daphnia,30,3,2022-07-21,Cooney,3116,16.7,0.43,8.61,76.8,112.9,95.0,1.0,84.23,369.04
258_16S,99_Z,MP_184_16S,Zooplankton,Bosmina,50,3,2022-07-21,Cooney,3116,16.7,0.43,8.61,76.8,112.9,95.0,1.0,84.23,369.04
264_16S,89_Z,MP_191_16S,Zooplankton,Daphnia,30,3,2022-07-21,Cooney,3116,16.7,0.43,8.61,76.8,112.9,95.0,1.0,84.23,369.04
27_16S,172_Z,MP_197_16S,Zooplankton,Cyclopoid,50,4,2022-08-04,Cooney,3116,16.2,0.87,7.77,74.5,126.8,105.5,99.2,5982.29,7.43
279_16S,168_Z,MP_207_16S,Zooplankton,Calanoid,50,4,2022-08-04,Cooney,3116,16.2,0.87,7.77,74.5,126.8,105.5,99.2,5982.29,7.43
280_16S,173_Z,MP_209_16S,Zooplankton,Cyclopoid,50,4,2022-08-04,Cooney,3116,16.2,0.87,7.77,74.5,126.8,105.5,99.2,5982.29,7.43
292_16S,164_Z,MP_222_16S,Zooplankton,Daphnia,30,4,2022-08-04,Cooney,3116,16.2,0.87,7.77,74.5,126.8,105.5,99.2,5982.29,7.43
298_16S,170_Z,MP_228_16S,Zooplankton,Calanoid,50,4,2022-08-04,Cooney,3116,16.2,0.87,7.77,74.5,126.8,105.5,99.2,5982.29,7.43
325_16S,165_Z,MP_258_16S,Zooplankton,Daphnia,30,4,2022-08-04,Cooney,3116,16.2,0.87,7.77,74.5,126.8,105.5,99.2,5982.29,7.43
331_16S,169_Z,MP_265_16S,Zooplankton,Calanoid,50,4,2022-08-04,Cooney,3116,16.2,0.87,7.77,74.5,126.8,105.5,99.2,5982.29,7.43
344_16S,171_Z,MP_279_16S,Zooplankton,Calanoid,50,4,2022-08-04,Cooney,3116,16.2,0.87,7.77,74.5,126.8,105.5,99.2,5982.29,7.43
86_16S,40_W,MP_355_16S,Water,Water,NA,4,2022-08-04,Cooney,3116,16.2,0.87,7.77,74.5,126.8,105.5,99.2,5982.29,7.43
287_16S,203_Z,MP_216_16S,Zooplankton,Cyclopoid,50,5,2022-08-22,Cooney,3116,17.9,0.00,8.07,69.8,177.3,139.8,31.3,NA,NA
290_16S,205_Z,MP_220_16S,Zooplankton,Cyclopoid,50,5,2022-08-22,Cooney,3116,17.9,0.00,8.07,69.8,177.3,139.8,31.3,NA,NA
301_16S,201_Z,MP_232_16S,Zooplankton,Daphnia,30,5,2022-08-22,Cooney,3116,17.9,0.00,8.07,69.8,177.3,139.8,31.3,NA,NA
318_16S,198_Z,MP_250_16S,Zooplankton,Daphnia,30,5,2022-08-22,Cooney,3116,17.9,0.00,8.07,69.8,177.3,139.8,31.3,NA,NA
322_16S,202_Z,MP_255_16S,Zooplankton,Cyclopoid,50,5,2022-08-22,Cooney,3116,17.9,0.00,8.07,69.8,177.3,139.8,31.3,NA,NA
324_16S,204_Z,MP_257_16S,Zooplankton,Cyclopoid,50,5,2022-08-22,Cooney,3116,17.9,0.00,8.07,69.8,177.3,139.8,31.3,NA,NA
34_16S,199_Z,MP_274_16S,Zooplankton,Daphnia,30,5,2022-08-22,Cooney,3116,17.9,0.00,8.07,69.8,177.3,139.8,31.3,NA,NA
342_16S,200_Z,MP_277_16S,Zooplankton,Daphnia,30,5,2022-08-22,Cooney,3116,17.9,0.00,8.07,69.8,177.3,139.8,31.3,NA,NA
83_16S,46_W,MP_352_16S,Water,Water,NA,5,2022-08-22,Cooney,3116,17.9,0.00,8.07,69.8,177.3,139.8,31.3,NA,NA
102_16S,16_Z22,MP_13_16S,Zooplankton,Calanoid,50,1,2022-06-26,Eastern Brook,3155,13.1,0.40,6.9,67.3,20,15.5,3.1,217.44,32.97
104_16S,22_Z22,MP_15_16S,Zooplankton,Calanoid,50,1,2022-06-26,Eastern Brook,3155,13.1,0.40,6.9,67.3,20,15.5,3.1,217.44,32.97
120_16S,14_Z22,MP_33_16S,Zooplankton,Calanoid,50,1,2022-06-26,Eastern Brook,3155,13.1,0.40,6.9,67.3,20,15.5,3.1,217.44,32.97
125_16S,12_Z22,MP_38_16S,Zooplankton,Daphnia,30,1,2022-06-26,Eastern Brook,3155,13.1,0.40,6.9,67.3,20,15.5,3.1,217.44,32.97
134_16S,24_Z22,MP_48_16S,Zooplankton,Cyclopoid,50,1,2022-06-26,Eastern Brook,3155,13.1,0.40,6.9,67.3,20,15.5,3.1,217.44,32.97
143_16S,18_Z22,MP_58_16S,Zooplankton,Daphnia,30,1,2022-06-26,Eastern Brook,3155,13.1,0.40,6.9,67.3,20,15.5,3.1,217.44,32.97
150_16S,15_Z22,MP_66_16S,Zooplankton,Calanoid,50,1,2022-06-26,Eastern Brook,3155,13.1,0.40,6.9,67.3,20,15.5,3.1,217.44,32.97
169_16S,21_Z22,MP_86_16S,Zooplankton,Calanoid,50,1,2022-06-26,Eastern Brook,3155,13.1,0.40,6.9,67.3,20,15.5,3.1,217.44,32.97
192_16S,19_Z22,MP_112_16S,Zooplankton,Bosmina,50,1,2022-06-26,Eastern Brook,3155,13.1,0.40,6.9,67.3,20,15.5,3.1,217.44,32.97
212_16S,20_Z22,MP_134_16S,Zooplankton,Cyclopoid,50,1,2022-06-26,Eastern Brook,3155,13.1,0.40,6.9,67.3,20,15.5,3.1,217.44,32.97
